area,time,capacity
BG23,08:00,0.43
BG23,08:30,0.59
BG23,09:00,4.49
BG23,09:30,9.99
BG23,10:00,16.92
BG23,10:30,22.24
BG23,11:00,24.24
BG23,11:30,27.24
BG23,12:00,29.52
BG23,12:30,28.59
BG23,13:00,27.12
BG23,13:30,26.78
BG23,14:00,27.41
BG23,14:30,28.21
BG23,15:00,32.74
BG23,15:30,35.93
BG23,16:00,34.46
BG23,16:30,32.42
BG23,17:00,30.4
BG23,17:30,24.68
BG23,18:00,18.67
BG23,18:30,15.73
BG23,19:00,11.84
BG23,19:30,8.17
BG23,20:00,7.18
BG23,20:30,6.54
BG23,21:00,4.11
BG23,21:30,1.52
BG23,22:00,0.64
BG23,22:30,0.35
BG23,23:00,0.35
BG23,23:30,0.35
BG56,08:00,0.19
BG56,08:30,0.56
BG56,09:00,1.82
BG56,09:30,3.24
BG56,10:00,4.74
BG56,10:30,6.04
BG56,11:00,6.88
BG56,11:30,12.02
BG56,12:00,18.01
BG56,12:30,20.38
BG56,13:00,21.87
BG56,13:30,21.87
BG56,14:00,19.25
BG56,14:30,16.69
BG56,15:00,21.5
BG56,15:30,26.47
BG56,16:00,28.16
BG56,16:30,27.15
BG56,17:00,23.77
BG56,17:30,25.11
BG56,18:00,25.52
BG56,18:30,19.12
BG56,19:00,14.9
BG56,19:30,14.04
BG56,20:00,12.56
BG56,20:30,10.09
BG56,21:00,6.35
BG56,21:30,2.7
BG56,22:00,1.89
BG56,22:30,1.21
BG56,23:00,0.75
BG56,23:30,0.34
BSBG,08:00,0.0
BSBG,08:30,0.0
BSBG,09:00,0.92
BSBG,09:30,2.75
BSBG,10:00,7.61
BSBG,10:30,10.49
BSBG,11:00,9.35
BSBG,11:30,9.72
BSBG,12:00,12.34
BSBG,12:30,21.67
BSBG,13:00,31.9
BSBG,13:30,34.1
BSBG,14:00,33.18
BSBG,14:30,31.15
BSBG,15:00,41.6
BSBG,15:30,50.95
BSBG,16:00,52.12
BSBG,16:30,48.75
BSBG,17:00,41.8
BSBG,17:30,37.4
BSBG,18:00,30.8
BSBG,18:30,16.92
BSBG,19:00,6.78
BSBG,19:30,3.3
BSBG,20:00,3.3
BSBG,20:30,3.72
BSBG,21:00,1.69
BSBG,21:30,0.0
BSBG,22:00,0.0
BSBG,22:30,0.0
BSBG,23:00,0.0
BSBG,23:30,0.0
BSEA,08:00,0.0
BSEA,08:30,0.0
BSEA,09:00,3.67
BSEA,09:30,8.36
BSEA,10:00,11.02
BSEA,10:30,14.15
BSEA,11:00,18.1
BSEA,11:30,18.33
BSEA,12:00,17.42
BSEA,12:30,23.75
BSEA,13:00,29.9
BSEA,13:30,28.9
BSEA,14:00,27.84
BSEA,14:30,27.3
BSEA,15:00,28.74
BSEA,15:30,28.94
BSEA,16:00,25.57
BSEA,16:30,22.99
BSEA,17:00,21.93
BSEA,17:30,18.8
BSEA,18:00,15.33
BSEA,18:30,13.23
BSEA,19:00,11.14
BSEA,19:30,9.67
BSEA,20:00,8.8
BSEA,20:30,7.85
BSEA,21:00,6.18
BSEA,21:30,4.27
BSEA,22:00,3.47
BSEA,22:30,2.4
BSEA,23:00,1.47
BSEA,23:30,0.67
BSGA,08:00,0.07
BSGA,08:30,0.22
BSGA,09:00,4.05
BSGA,09:30,9.73
BSGA,10:00,18.14
BSGA,10:30,24.64
BSGA,11:00,26.8
BSGA,11:30,31.71
BSGA,12:00,36.62
BSGA,12:30,38.67
BSGA,13:00,38.8
BSGA,13:30,36.4
BSGA,14:00,35.05
BSGA,14:30,34.91
BSGA,15:00,39.41
BSGA,15:30,42.08
BSGA,16:00,38.55
BSGA,16:30,34.51
BSGA,17:00,31.16
BSGA,17:30,29.28
BSGA,18:00,25.87
BSGA,18:30,17.64
BSGA,19:00,10.73
BSGA,19:30,7.2
BSGA,20:00,4.32
BSGA,20:30,2.41
BSGA,21:00,1.97
BSGA,21:30,1.28
BSGA,22:00,0.8
BSGA,22:30,0.48
BSGA,23:00,0.29
BSGA,23:30,0.13
BSLS,08:00,0.52
BSLS,08:30,0.21
BSLS,09:00,0.85
BSLS,09:30,1.99
BSLS,10:00,2.88
BSLS,10:30,4.18
BSLS,11:00,5.95
BSLS,11:30,7.65
BSLS,12:00,8.68
BSLS,12:30,8.84
BSLS,13:00,8.84
BSLS,13:30,8.84
BSLS,14:00,8.53
BSLS,14:30,8.21
BSLS,15:00,10.76
BSLS,15:30,12.23
BSLS,16:00,10.1
BSLS,16:30,7.37
BSLS,17:00,4.87
BSLS,17:30,2.04
BSLS,18:00,0.0
BSLS,18:30,0.0
BSLS,19:00,0.21
BSLS,19:30,0.56
BSLS,20:00,1.02
BSLS,20:30,1.26
BSLS,21:00,0.94
BSLS,21:30,0.68
BSLS,22:00,0.68
BSLS,22:30,0.68
