area,time,capacity
BG23,08:00,0.007656
BG23,08:30,0.056115
BG23,09:00,0.135285
BG23,09:30,0.18153999999999998
BG23,10:00,0.17817599999999997
BG23,10:30,0.22622899999999999
BG23,11:00,0.522
BG23,11:30,0.5281769999999999
BG23,12:00,0.5465629999999999
BG23,12:30,0.5568
BG23,13:00,0.556742
BG23,13:30,0.5158809999999999
BG56,08:00,0.0
BG56,08:30,0.008424000000000001
BG56,09:00,0.022775999999999998
BG56,09:30,0.0312
BG56,10:00,0.0312
BG56,10:30,0.13041599999999998
BG56,11:00,0.7253999999999999
BG56,11:30,0.7487219999999999
BG56,12:00,0.818922
BG56,12:30,0.8716499999999999
BG56,13:00,0.896454
BG56,13:30,0.809406
BSBG,08:00,0.0
BSBG,08:30,0.026740000000000003
BSBG,09:00,0.07126
BSBG,09:30,0.09519999999999999
BSBG,10:00,0.08708
BSBG,10:30,0.11998
BSBG,11:00,0.336
BSBG,11:30,0.34341999999999995
BSBG,12:00,0.36567999999999995
BSBG,12:30,0.4151
BSBG,13:00,0.48174000000000006
BSBG,13:30,0.43820000000000003
BSEA,08:00,0.0
BSEA,08:30,0.052467999999999994
BSEA,09:00,0.139932
BSEA,09:30,0.18927999999999998
BSEA,10:00,0.180232
BSEA,10:30,0.250432
BSEA,11:00,0.6916
BSEA,11:30,0.7263879999999999
BSEA,12:00,0.831012
BSEA,12:30,1.0
BSEA,13:00,1.0
BSEA,13:30,1.0
BSGA,08:00,0.010192
BSGA,08:30,0.042504
BSGA,09:00,0.094696
BSGA,09:30,0.12432
BSGA,10:00,0.11944800000000001
BSGA,10:30,0.179172
BSGA,11:00,0.5488
BSGA,11:30,0.571116
BSGA,12:00,0.6378119999999999
BSGA,12:30,0.68138
BSGA,13:00,0.6931959999999999
BSGA,13:30,0.68404
BSLS,08:00,0.0062
BSLS,08:30,0.016305999999999998
BSLS,09:00,0.033294
BSLS,09:30,0.042159999999999996
BSLS,10:00,0.038563999999999994
BSLS,10:30,0.066464
BSLS,11:00,0.2418
BSLS,11:30,0.248434
BSLS,12:00,0.26815
BSLS,12:30,0.26622799999999996
BSLS,13:00,0.24334999999999998
BSLS,13:30,0.293942
INFO,08:00,0.002496
INFO,08:30,0.014508
INFO,09:00,0.032291999999999994
INFO,09:30,0.04212
INFO,10:00,0.039858
INFO,10:30,0.07636199999999999
INFO,11:00,0.3003
INFO,11:30,0.30240599999999995
INFO,12:00,0.308568
INFO,12:30,0.344175
INFO,13:00,0.401934
INFO,13:30,0.433992
JEAP,08:00,0.001792
JEAP,08:30,0.020356
JEAP,09:00,0.049644
JEAP,09:30,0.06664
JEAP,10:00,0.06501599999999999
JEAP,10:30,0.084784
JEAP,11:00,0.2072
JEAP,11:30,0.216608
JEAP,12:00,0.244748
JEAP,12:30,0.28756
JEAP,13:00,0.336476
JEAP,13:30,0.338324
JGAR,08:00,0.0096
JGAR,08:30,0.061967999999999995
JGAR,09:00,0.14923199999999998
JGAR,09:30,0.19968
JGAR,10:00,0.19411199999999998
JGAR,10:30,0.28881599999999996
JGAR,11:00,0.8687999999999999
JGAR,11:30,0.8867039999999998
JGAR,12:00,0.9400799999999999
JGAR,12:30,0.9555359999999998
JGAR,13:00,0.9300479999999999
JGAR,13:30,0.9373919999999999
